551,BUFFER,-28,287
552,BUFFER,120,288
553,BUFFER,121,215
554,BUFFER,448,192
555,BUFFER,449,117
556,BUFFER,4,-248
557,BUFFER,-216,-248
558,BUFFER,235,-248
559,BUFFER,439,-248
560,BUFFER,438,97
561,BUFFER,236,97
562,BUFFER,72,95
563,BUFFER,437,294
564,BUFFER,-274,294
565,BUFFER,-273,95
566,BUFFER,-326,94
