5,25,16,-397,-41,-369,-41,12
6,26,22,-397,36,-369,35,12
7,17,21,-319,-16,-319,10,28
13,33,34,-396,-90,-397,73,12
24,45,46,-284,-90,-319,-90,9
25,46,33,-319,-90,-396,-90,9
26,46,15,-319,-90,-319,-66,48
29,45,47,-284,-90,-215,-91,9
30,47,41,-215,-91,-215,-27,50
31,50,51,-215,-37,-186,-37,9
32,47,52,-215,-91,-186,-92,9
33,52,53,-186,-92,-186,74,9
42,56,34,-284,73,-397,73,9
43,56,53,-284,73,-186,74,9
46,45,56,-284,-90,-284,73,9
47,23,58,-319,60,-299,59,9
48,58,59,-299,59,-300,-2,9
49,59,42,-300,-2,-265,-2,9
72,110,111,-284,-212,-284,-189,98
73,111,101,-284,-189,-299,-189,112
74,111,104,-284,-189,-220,-189,113
75,103,114,-299,-140,-299,-132,98
76,114,124,-299,-132,-220,-130,98
77,106,124,-220,-140,-220,-130,98
78,124,125,-220,-130,-204,-130,98
79,125,127,-204,-130,-204,-165,98
80,127,109,-204,-165,-187,-164,98
81,108,128,-385,-141,-365,-141,98
82,128,129,-365,-141,-365,-122,98
83,129,130,-365,-122,-269,-122,98
84,130,105,-269,-122,-270,-164,98
85,107,131,-385,-189,-349,-188,98
86,131,102,-349,-188,-349,-164,98
87,110,132,-284,-212,-384,-212,98
88,132,133,-384,-212,-385,-113,98
89,110,135,-284,-212,-187,-212,98
91,133,134,-385,-113,-188,-113,98
159,229,220,-160,-142,-132,-142,216
160,230,226,-160,-65,-132,-66,216
161,221,225,-82,-117,-82,-91,232
162,227,233,-82,-41,-70,-40,216
163,233,234,-70,-40,-70,-103,216
165,235,219,-82,-191,-82,-167,236
166,235,237,-82,-191,-159,-191,216
167,237,238,-159,-191,-160,-28,216
173,238,243,-160,-28,-48,-27,216
174,234,241,-70,-103,-48,-103,216
175,235,244,-82,-191,-47,-191,216
176,244,243,-47,-191,-48,-27,216
182,257,258,-216,-234,-417,-233,6
183,258,259,-417,-233,-417,85,6
184,259,260,-417,85,-25,86,6
185,257,261,-216,-234,-25,-235,6
186,261,260,-25,-235,-25,86,6
187,241,256,-48,-103,-25,-103,6
188,257,262,-216,-234,-217,-222,6
189,262,263,-217,-222,-284,-222,6
190,263,110,-284,-222,-284,-212,6
191,262,265,-217,-222,-173,-221,6
193,266,268,-174,-101,-284,-101,6
194,268,45,-284,-101,-284,-90,6
195,265,264,-173,-221,-83,-221,6
196,264,235,-83,-221,-82,-191,6
197,255,280,-417,-79,-404,-79,6
198,280,281,-404,-79,-403,-140,6
199,281,108,-403,-140,-385,-141,6
200,280,277,-404,-79,-405,36,6
201,277,26,-405,36,-397,36,6
202,274,25,-409,-41,-397,-41,6
203,254,269,-417,-122,-408,-122,6
204,269,274,-408,-122,-409,-41,6
205,269,270,-408,-122,-408,-189,6
206,270,107,-408,-189,-385,-189,6
207,51,282,-186,-37,-173,-38,6
208,282,283,-173,-38,-173,-65,6
209,283,230,-173,-65,-160,-65,6
211,135,134,-187,-212,-188,-113,6
212,265,266,-173,-221,-174,-101,6
213,109,285,-187,-164,-167,-163,6
