1,26,45,-240,0,-227,0,0
2,45,46,-227,0,-227,44,0
3,46,47,-227,44,-288,44,0
4,47,36,-288,44,-289,59,0
5,31,24,-289,-62,-290,-25,0
6,30,21,-212,-63,-213,-25,0
7,29,18,-135,-65,-136,-25,0
8,28,6,-60,-65,-61,-24,0
9,27,3,13,-65,13,-25,0
10,32,9,89,-64,90,-25,0
11,33,12,161,-64,161,-25,0
12,34,15,239,-65,240,-25,0
13,49,50,-150,46,-214,45,0
14,23,48,-163,0,-150,0,0
15,48,49,-150,0,-150,46,0
16,50,37,-214,45,-212,60,0
17,20,64,-86,0,-73,0,0
18,64,57,-73,0,-74,46,0
19,57,51,-74,46,-136,46,0
20,51,38,-136,46,-136,59,0
21,8,65,-11,1,1,0,0
22,65,58,1,0,1,45,0
23,58,52,1,45,-62,47,0
24,52,39,-62,47,-61,60,0
25,5,66,63,0,76,-1,0
26,66,59,76,-1,76,46,0
27,59,53,76,46,13,47,0
28,53,40,13,47,13,60,0
29,11,67,140,0,151,0,0
30,67,60,151,0,150,46,0
31,60,54,150,46,90,47,0
32,54,41,90,47,89,61,0
33,14,68,211,0,225,0,0
34,68,61,225,0,225,47,0
35,61,55,225,47,161,48,0
36,55,42,161,48,161,59,0
37,17,62,290,0,304,0,0
38,62,63,304,0,304,47,0
39,63,56,304,47,241,47,0
40,56,43,241,47,241,58,0
41,44,69,332,0,316,-1,0
42,69,70,316,-1,316,35,0
43,70,71,316,35,241,36,0
44,71,16,241,36,240,25,0
45,71,72,241,36,161,36,0
46,72,13,161,36,161,25,0
47,72,73,161,36,90,36,0
48,73,10,90,36,90,25,0
49,73,74,90,36,12,37,0
50,74,4,12,37,13,25,0
51,74,75,12,37,-61,36,0
52,75,7,-61,36,-61,26,0
53,75,76,-61,36,-136,35,0
54,76,19,-136,35,-136,25,0
55,76,77,-136,35,-213,35,0
56,77,22,-213,35,-213,25,0
57,77,78,-213,35,-289,36,0
58,78,25,-289,36,-290,25,0
59,44,80,332,0,332,58,0
60,80,81,332,58,-311,60,0
61,81,82,-311,60,-311,-64,0
62,82,79,-311,-64,331,-67,0
63,44,79,332,0,331,-67,0
