3,19,10,-131,64,-103,64,6
4,20,16,-131,141,-103,140,6
5,11,15,-53,89,-53,115,22
11,27,28,-130,15,-131,178,6
22,39,40,-18,15,-53,15,3
23,40,27,-53,15,-130,15,3
24,40,9,-53,15,-53,39,42
27,39,41,-18,15,51,14,3
28,41,35,51,14,51,78,44
29,44,45,51,68,80,68,3
30,41,46,51,14,80,13,3
31,46,47,80,13,80,179,3
40,50,28,-18,178,-131,178,3
41,50,47,-18,178,80,179,3
44,39,50,-18,15,-18,178,3
45,17,52,-53,165,-33,164,3
46,52,53,-33,164,-34,103,3
47,53,36,-34,103,1,103,3
70,104,105,-18,-107,-18,-84,92
71,105,95,-18,-84,-33,-84,106
72,105,98,-18,-84,46,-84,107
73,97,108,-33,-35,-33,-27,92
74,108,118,-33,-27,46,-25,92
75,100,118,46,-35,46,-25,92
76,118,119,46,-25,62,-25,92
77,119,121,62,-25,62,-60,92
78,121,103,62,-60,79,-59,92
79,102,122,-119,-36,-99,-36,92
80,122,123,-99,-36,-99,-17,92
81,123,124,-99,-17,-3,-17,92
82,124,99,-3,-17,-4,-59,92
83,101,125,-119,-84,-83,-83,92
84,125,96,-83,-83,-83,-59,92
85,104,126,-18,-107,-118,-107,92
86,126,127,-118,-107,-119,-8,92
87,104,129,-18,-107,79,-107,92
88,129,128,79,-107,78,-8,92
89,127,128,-119,-8,78,-8,92
157,223,214,106,-37,134,-37,210
158,224,220,106,40,134,39,210
159,215,219,184,-12,184,14,226
160,221,227,184,64,196,65,210
161,227,228,196,65,196,2,210
163,229,213,184,-86,184,-62,230
164,229,231,184,-86,107,-86,210
165,231,232,107,-86,106,77,210
171,232,237,106,77,218,78,210
172,228,235,196,2,218,2,210
173,229,238,184,-86,219,-86,210
174,238,237,219,-86,218,78,210
