1,25,0,S,1
2,-25,0,Z,1
3,-200,0,L,1
4,396,-75,a,2
5,411,-75,b,2
6,426,-75,c,2
7,441,-75,d,2
8,456,-75,e,2
9,471,-75,f,2
10,486,-75,g,2
11,501,-75,h,2
12,396,90,i,2
13,411,90,j,2
14,426,90,k,2
15,441,90,l,2
16,456,90,m,2
17,471,90,n,2
18,486,90,o,2
19,501,90,p,2
20,366,-45,1,2
21,366,-30,2,2
22,366,-15,3,2
23,366,0,4,2
24,366,15,5,2
25,366,30,6,2
26,366,45,7,2
27,366,60,8,2
43,468,-205,U,16
50,495,-205,U,23
53,523,-205,U,26
58,408,-205,U,31
60,383,-205,U,33
61,357,-204,U,34
77,471,211,U,48
84,498,211,U,55
87,526,211,U,58
92,411,211,U,63
94,386,211,U,65
95,360,212,U,66
111,234,5,U,80
118,261,5,U,87
121,289,5,U,90
126,174,5,U,95
128,149,5,U,97
129,123,6,U,98
130,25,-245,U,99
131,25,241,U,100
132,359,242,U,101
133,385,241,U,102
134,411,243,U,103
135,436,241,U,104
136,471,240,U,105
137,497,241,U,106
138,527,241,U,107
139,551,240,U,108
140,357,-244,U,109
141,383,-244,U,110
142,407,-244,U,111
143,435,-244,U,112
144,468,-244,U,113
145,495,-244,U,114
146,523,-244,U,115
147,548,-244,U,116
148,199,6,U,117
149,313,5,U,118
150,435,-205,U,119
151,548,-205,U,120
153,552,209,U,122
154,435,210,U,123
159,313,60,U,128
160,289,46,U,129
161,262,31,U,130
162,234,21,U,131
163,199,-7,U,132
164,175,-16,U,133
165,149,-32,U,134
166,122,-46,U,135
