3,25,-64,C,2
4,-25,-39,B,2
5,25,-14,E,2
9,25,12,C,4
10,-25,37,B,4
11,25,62,E,4
13,-53,-39,U,6
14,-53,38,U,7
16,25,8,N,4
17,37,63,U,9
18,37,0,U,10
19,25,-88,U,11
20,25,-68,N,2
21,-52,-88,U,12
22,-53,75,U,13
25,59,0,U,16
27,59,76,U,18
28,60,-88,U,19
