1,1,29,25,0,87,0,0
2,29,30,87,0,87,27,0
3,30,31,87,27,88,67,0
6,29,45,87,0,92,-237,0
7,45,33,92,-237,212,-234,0
8,33,34,212,-234,238,-232,0
9,34,35,238,-232,261,-232,0
10,35,36,261,-232,288,-231,0
11,36,37,288,-231,314,-231,0
12,37,38,314,-231,337,-230,0
13,38,39,337,-230,362,-230,0
14,39,40,362,-230,386,-232,0
15,45,46,92,-237,93,-275,0
16,46,47,93,-275,462,-275,0
17,47,48,462,-275,462,-14,0
18,48,49,462,-14,465,27,0
19,49,50,465,27,464,65,0
20,50,51,464,65,464,106,0
21,12,52,212,253,213,315,0
22,13,53,237,253,239,313,0
23,14,54,262,253,263,312,0
24,15,55,287,253,290,310,0
25,16,56,312,253,314,311,0
26,17,57,337,253,336,314,0
27,18,58,362,253,361,313,0
28,19,59,387,253,390,313,0
