9,GATED LATCH,529,413
13,GATED LATCH,454,412
14,GATED LATCH,377,412
15,GATED LATCH,300,412
17,LED,505,347
18,LED,430,347
19,LED,353,349
20,LED,276,350
25,LED,276,471
26,LED,353,472
27,LED,429,471
28,LED,504,472
34,BUFFER,338,412
35,BUFFER,338,456
36,BUFFER,277,456
37,BUFFER,415,412
38,BUFFER,415,458
39,BUFFER,351,457
40,BUFFER,429,458
41,BUFFER,503,459
46,BUFFER,491,458
47,BUFFER,566,457
53,BUFFER,492,412
54,BUFFER,566,412
64,BUFFER,504,448
65,BUFFER,429,447
66,BUFFER,352,447
67,BUFFER,276,448
70,BUFFER,254,472
71,BUFFER,254,348
299,BUFFER,352,328
300,BUFFER,431,320
301,BUFFER,504,310
314,BUFFER,276,333
345,TRANSISTOR,326,553
346,TRANSISTOR,405,552
347,TRANSISTOR,478,550
357,TRANSISTOR,251,553
359,BUFFER,226,501
360,BUFFER,300,501
361,BUFFER,380,499
362,BUFFER,453,498
371,BUFFER,276,598
374,BUFFER,351,602
375,BUFFER,430,607
376,BUFFER,503,611
397,GATED LATCH,606,858
398,GATED LATCH,532,859
399,GATED LATCH,683,858
400,GATED LATCH,754,858
401,GATED LATCH,833,858
402,GATED LATCH,457,858
403,GATED LATCH,380,858
404,GATED LATCH,303,858
405,LED,581,793
406,LED,508,793
407,LED,433,793
408,LED,356,795
409,LED,279,796
410,LED,657,794
411,LED,729,794
412,LED,807,793
414,LED,279,917
415,LED,356,918
416,LED,432,917
417,LED,507,918
418,LED,581,918
419,LED,657,919
420,LED,729,917
421,LED,809,916
422,LED,900,858
423,BUFFER,341,858
424,BUFFER,341,902
425,BUFFER,280,902
426,BUFFER,418,858
427,BUFFER,418,904
428,BUFFER,354,903
429,BUFFER,432,904
430,BUFFER,506,905
431,BUFFER,581,905
432,BUFFER,658,905
433,BUFFER,729,906
434,BUFFER,809,905
435,BUFFER,494,904
436,BUFFER,569,903
437,BUFFER,644,904
438,BUFFER,718,904
439,BUFFER,793,905
440,BUFFER,872,858
441,BUFFER,872,905
442,BUFFER,495,858
443,BUFFER,569,858
444,BUFFER,644,857
445,BUFFER,719,858
446,BUFFER,793,858
447,BUFFER,884,857
448,BUFFER,884,893
449,BUFFER,809,894
450,BUFFER,729,894
451,BUFFER,658,894
452,BUFFER,580,895
453,BUFFER,507,894
454,BUFFER,432,893
455,BUFFER,355,893
456,BUFFER,279,894
457,BUFFER,899,791
458,BUFFER,900,916
459,BUFFER,257,918
460,BUFFER,257,794
688,BUFFER,355,774
689,BUFFER,434,766
690,BUFFER,507,756
691,BUFFER,579,747
692,BUFFER,657,738
693,BUFFER,729,730
694,BUFFER,807,719
703,BUFFER,279,779
734,TRANSISTOR,329,999
735,TRANSISTOR,408,998
736,TRANSISTOR,481,996
737,TRANSISTOR,558,996
738,TRANSISTOR,631,997
739,TRANSISTOR,707,995
740,TRANSISTOR,778,995
746,TRANSISTOR,254,999
748,BUFFER,229,947
749,BUFFER,303,947
750,BUFFER,383,945
751,BUFFER,456,944
752,BUFFER,533,945
753,BUFFER,605,944
754,BUFFER,681,944
755,BUFFER,753,947
760,BUFFER,279,1044
763,BUFFER,354,1048
764,BUFFER,433,1053
765,BUFFER,506,1057
766,BUFFER,581,1064
767,BUFFER,655,1070
768,BUFFER,731,1076
769,BUFFER,803,1083
790,TRANSISTOR,332,1394
792,TRANSISTOR,332,1470
794,LED,279,1394
795,LED,279,1471
800,BUFFER,280,1345
801,BUFFER,279,1508
808,TRANSISTOR,436,1433
810,LED,392,1345
811,BUFFER,357,1345
812,BUFFER,461,1344
814,LED,490,1398
815,BUFFER,490,1343
816,BUFFER,490,1509
819,BUFFER,392,1508
821,BUFFER,377,1494
822,BUFFER,376,1433
856,TRANSISTOR,352,1271
857,TRANSISTOR,431,1271
858,LED,291,1246
859,LED,291,1294
860,LED,489,1271
861,LED,392,1223
862,BUFFER,392,1246
863,BUFFER,377,1303
873,BUFFER,456,1305
874,BUFFER,472,1305
876,BUFFER,472,1270
877,BUFFER,311,1294
878,BUFFER,311,1313
879,BUFFER,407,1313
880,BUFFER,327,1247
881,BUFFER,292,1223
882,BUFFER,291,1322
883,BUFFER,488,1322
884,BUFFER,489,1223
944,TRANSISTOR,569,1293
946,TRANSISTOR,569,1369
948,LED,516,1293
949,LED,516,1370
951,BUFFER,606,1395
952,BUFFER,606,1332
953,LED,594,1244
954,BUFFER,517,1244
955,BUFFER,516,1407
958,LED,628,1332
960,BUFFER,628,1408
961,BUFFER,629,1244
971,LED,259,1313
972,LED,259,1356
973,LED,651,1332
974,LED,460,1201
975,BUFFER,259,1202
976,BUFFER,259,1520
977,BUFFER,651,1521
978,BUFFER,651,1200
979,BUFFER,459,1213
980,BUFFER,392,1213
981,BUFFER,593,1214
982,BUFFER,503,1214
983,BUFFER,502,1334
985,BUFFER,392,1334
986,BUFFER,268,1313
987,BUFFER,268,1246
991,BUFFER,267,1394
994,BUFFER,271,1471
997,BUFFER,272,1356
998,BUFFER,273,1295
999,BUFFER,503,1397
1000,BUFFER,503,1370
1002,BUFFER,509,1272
1003,BUFFER,508,1294
1010,TRANSISTOR,784,1394
1012,TRANSISTOR,784,1470
1014,LED,731,1394
1015,LED,731,1471
1020,BUFFER,732,1345
1021,BUFFER,731,1508
1028,TRANSISTOR,888,1433
1030,LED,844,1345
1031,BUFFER,809,1345
1032,BUFFER,913,1344
1034,LED,942,1398
1035,BUFFER,942,1343
1036,BUFFER,942,1509
1039,BUFFER,844,1508
1041,BUFFER,829,1494
1042,BUFFER,828,1433
1076,TRANSISTOR,804,1271
1077,TRANSISTOR,883,1271
1078,LED,743,1246
1079,LED,743,1294
1080,LED,941,1271
1081,LED,844,1223
1082,BUFFER,844,1246
1083,BUFFER,829,1303
1093,BUFFER,908,1305
1094,BUFFER,924,1305
1096,BUFFER,924,1270
1097,BUFFER,763,1294
1098,BUFFER,763,1313
1099,BUFFER,859,1313
1100,BUFFER,779,1247
1101,BUFFER,744,1223
1102,BUFFER,743,1322
1103,BUFFER,940,1322
1104,BUFFER,941,1223
1164,TRANSISTOR,1021,1293
1166,TRANSISTOR,1021,1369
1168,LED,968,1293
1169,LED,968,1370
1171,BUFFER,1058,1395
1172,BUFFER,1058,1332
1173,LED,1046,1244
1174,BUFFER,969,1244
1175,BUFFER,968,1407
1178,LED,1080,1332
1180,BUFFER,1080,1408
1181,BUFFER,1081,1244
1191,LED,711,1313
1192,LED,711,1356
1193,LED,1103,1332
1194,LED,912,1201
1195,BUFFER,711,1202
1196,BUFFER,711,1520
1197,BUFFER,1103,1521
1198,BUFFER,1103,1200
1199,BUFFER,911,1213
1200,BUFFER,844,1213
1201,BUFFER,1045,1214
1202,BUFFER,955,1214
1203,BUFFER,954,1334
1205,BUFFER,844,1334
1206,BUFFER,720,1313
1207,BUFFER,720,1246
1211,BUFFER,719,1394
1214,BUFFER,723,1471
1217,BUFFER,724,1356
1218,BUFFER,725,1295
1219,BUFFER,955,1397
1220,BUFFER,955,1370
1222,BUFFER,961,1272
1223,BUFFER,960,1294
1224,LED,195,1483
1225,LED,195,1528
1226,LED,195,1572
1229,TRANSISTOR,325,1590
1231,TRANSISTOR,325,1666
1233,LED,272,1590
1234,LED,272,1667
1236,BUFFER,362,1692
1237,BUFFER,362,1629
1238,LED,350,1541
1239,BUFFER,273,1541
1240,BUFFER,272,1704
1243,LED,384,1629
1245,BUFFER,384,1705
1246,BUFFER,385,1541
1249,TRANSISTOR,724,1589
1251,TRANSISTOR,724,1665
1253,LED,671,1589
1254,LED,671,1666
1256,BUFFER,761,1691
1257,BUFFER,761,1628
1258,LED,749,1540
1259,BUFFER,672,1540
1260,BUFFER,671,1703
